user_id,user_archetype,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29
27,b,3,4,2,3,2,3,2,2,3,2,3,4,4,4,4,3,3,3,4,4,3,2,2,3,2,4,It doesn't use lab results previous culture results presence of NG tube or CRP,4,2
28,a,3,4,2,4,5,5,3,3,4,4,2,4,4,4,5,3,4,3,4,3,3,4,4,4,2,5,"It will be very useful to have access to real time datasets, for example EWS calculator or calculated, blood results, inflammatory markers and culture data  to help validate the decision making process",4,5
29,b,4,4,3,4,3,4,4,4,3,4,4,4,4,5,4,4,4,3,3,3,4,4,4,4,4,4,The lack of blood tests reduces my confidence in identifying when to step down,5,4
30,a,4,4,3,4,5,4,3,4,4,5,4,5,4,4,4,3,4,3,3,2,2,4,1,4,3,5,"Some of the CDSS systems of similarities reported back felt to be bias, and over influenced decision making towards parameterised similar patients, so I did not like this example. I found the heat map less intuitive and hence less user-friendly. What I liked was the the recommendations and reasons for why (i.e. weighted future importance) and way that CDSS made me question my decision making where it differed. I also liked the ease of reference to guidance which would b e useful for a learning tool to reinforce good practice on up-to-date guidance.",2,4
31,b,4,4,3,3,3,4,4,4,4,4,4,5,4,3,5,2,3,3,3,3,4,4,4,4,3,4,A lot of the answers here depend  on the underlying clinical outcome data.,5,4
32,a,4,4,4,4,3,4,5,4,4,3,5,4,4,4,4,3,3,3,3,2,2,3,3,4,4,5,"dashboard would be useful with overview of patients and ai outcome, scroll down on the page could be improved, overall can see benefit in having this decision aid. knowing what action other clinicians made didn't give me confidence, rather knowing patient outcomes would. ",4,4
33,b,3,4,5,5,5,4,4,4,4,4,3,5,5,5,5,3,3,3,4,4,3,4,5,4,4,4,"it would be good if it integrated even more data relevant to the decision such as examination findings, history and blood tests/other investigations",4,4
34,a,4,4,4,4,4,5,4,4,5,4,4,4,5,5,5,3,4,4,4,4,2,4,4,4,3,4,,4,4
35,b,3,4,4,4,3,4,4,3,4,4,3,3,4,3,4,3,3,4,3,3,3,2,3,3,2,4,"For decision making, need to replicate real life clinical IV to oral switch, which would always include a more detailed clinical scenario including presentation, imaging, and blood tests",4,3
36,a,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,2,3,3,3,4,1,4,2,5,,3,5
37,b,3,4,4,4,4,4,3,3,3,4,2,4,4,4,4,3,3,4,4,4,3,4,4,4,3,4,as discussed in interview. I used AI only when there was I felt some information lacking to make a decision and so I needed some more reassurance ,4,3
38,a,4,3,3,4,4,4,3,4,4,4,4,4,4,3,4,3,3,3,4,4,3,4,3,4,3,4,"confidence in it would be improved by having CRP, WCC, Neut & also their delirium score & their ability to absorb (e.g. ?vomiting ?diarrhoea), + to be sure there isn't more than 1 infection (e.g. hospital acquired). For cellulitis - clinically would need to see photos of improving redness to help with my decision making - if AI could incorporate that would be great as feel less confident using the tool for cellulitis compared with other infections in the above task",5,4
